"ID_STOP","M_P_STOPS_DIST"
"14906","1566"
"14914","2181"
"14919","2625"
"14924","2900"
"14928","3375"
"14932","3318"
"14968","7392"
"14981",""
"14986",""
"15469","7829"
"15482","4242"
"15484","4662"
"15490","5359"
"15495","6002"
"15499","6408"
"15504","6793"
"15537","8565"
"15538","8777"
"15541","9069"
"15543","9379"
"15555","8385"
"15656","1586"
"15660","1848"
"15675","1648"
"16775","8430"
"16784","4059"
"16785","5137"
"27166",""
"27167",""
"27169","2756"
"27171","3286"
