"STOP_NUMBER","ID_STOP","DISTANCE_BACK"
"20","27168","610"
"21","27170","580"
"22","15032","660"
"23","15042","380"
"24","15045","440"
"25","24994","500"
"26","15052","330"
"27","15055","490"
"28","16787","610"
"29","24735","440"
"30","14985","380"
"31","14988","410"
"32","14992","380"
"33","14995","550"
"34","14998","430"
"35","15001","400"
"36","15070","710"
"37","27084","190"
"38","15006","160"
