"ID_STOP","M_P_STOPS_DIST"
"14906","1011"
"14914","1480"
"14919","1871"
"14924","2127"
"14928","2633"
"14932","2669"
"14968","7644"
"14981",""
"14986",""
"15469","8084"
"15482","4445"
"15484","4950"
"15490","5591"
"15495","6242"
"15499","6652"
"15504","7041"
"15537","8955"
"15538","9215"
"15541","9553"
"15543","9858"
"15555","8678"
"15656","397"
"15660","792"
"15675","834"
"16775","8752"
"16784","4304"
"16785","5413"
"27166",""
"27167",""
"27169","2361"
"27171","2724"
