"ID_STOP","M_P_STOPS_DIST"
"14906","1501"
"14914","2105"
"14919","2544"
"14924","2818"
"14928","3310"
"14932","3283"
"14968","7630"
"14981",""
"14986",""
"15469","8069"
"15482","4456"
"15484","4899"
"15490","5587"
"15495","6234"
"15499","6642"
"15504","7029"
"15537","8836"
"15538","9058"
"15541","9359"
"15543","9669"
"15555","8635"
"15656","1326"
"15660","1646"
"15675","1513"
"16775","8686"
"16784","4282"
"16785","5374"
"27166",""
"27167",""
"27169","2789"
"27171","3278"
