"ID_STOP","M_P_STOPS_DIST"
"14906","1763"
"14914","1166"
"14919","755"
"14924","521"
"14928","169"
"14932","110"
"14968","5889"
"14981",""
"14986",""
"15469","6307"
"15482","3016"
"15484","3580"
"15490","3997"
"15495","4581"
"15499","4958"
"15504","5321"
"15537","7381"
"15538","7723"
"15541","8142"
"15543","8420"
"15555","6937"
"15656","2332"
"15660","1889"
"15675","1805"
"16775","7060"
"16784","2999"
"16785","3934"
"27166",""
"27167",""
"27169","842"
"27171","353"
