"ID_STOP","M_P_STOPS_DIST"
"14906","1552"
"14914","2130"
"14919","2559"
"14924","2825"
"14928","3255"
"14932","3151"
"14968","6814"
"14981",""
"14986",""
"15469","7250"
"15482","3695"
"15484","4090"
"15490","4795"
"15495","5432"
"15499","5836"
"15504","6218"
"15537","7963"
"15538","8169"
"15541","8456"
"15543","8766"
"15555","7798"
"15656","1899"
"15660","2037"
"15675","1742"
"16775","7837"
"16784","3505"
"16785","4565"
"27166",""
"27167",""
"27169","2494"
"27171","3075"
