"ID_STOP","M_P_STOPS_DIST"
"14906","1244"
"14914","630"
"14919","190"
"14924","99"
"14928","581"
"14932","632"
"14968","6268"
"14981",""
"14986",""
"15469","6694"
"15482","3258"
"15484","3824"
"15490","4311"
"15495","4922"
"15499","5312"
"15504","5686"
"15537","7726"
"15538","8052"
"15541","8454"
"15543","8740"
"15555","7320"
"15656","1760"
"15660","1318"
"15675","1247"
"16775","7432"
"16784","3204"
"16785","4216"
"27166",""
"27167",""
"27169","833"
"27171","764"
